Type,Final Price,Unit Price,Flooring,Parking Space
"
2                                            ",580,15.8,23.68,"
0                                            "
"
2                                            ",431,8.1,32.37,"
0                                            "
"
2                                            ",500,10.7,24.57,"
0                                            "
"
2                                            ",1080,16.8,36.85,"
0                                            "
"
2                                            ",2500,22.9,36.53,"
0                                            "
"
2                                            ",3990,38.7,46.87,"
0                                            "
"
1                                            ",170,18.4,0.93,"
0                                            "
"
0                                            ",166,6.6,9.91,"
0                                            "
"
2                                            ",600,18.6,14.24,"
0                                            "
"
2                                            ",1830,26.1,67.72,"
0                                            "
"
2                                            ",1680,27.9,42.46,"
0                                            "
"
2                                            ",82,5.0,14.67,"
0                                            "
"
2                                            ",560,9.0,46.28,"
0                                            "
"
2                                            ",870,13.7,39.42,"
0                                            "
"
2                                            ",392,15.0,19.52,"
0                                            "
"
1                                            ",102,15.0,1.75,"
0                                            "
"
2                                            ",1105,18.5,38.70,"
0                                            "
"
2                                            ",925,16.4,29.10,"
0                                            "
"
2                                            ",1050,16.7,27.53,"
0                                            "
"
0                                            ",220,9.2,7.45,"
0                                            "
"
2                                            ",1880,17.9,40.54,"
0                                            "
"
2                                            ",800,32.4,21.18,"
0                                            "
"
2                                            ",780,25.4,23.60,"
0                                            "
"
2                                            ",680,13.1,21.16,"
0                                            "
"
2                                            ",790,17.1,20.46,"
0                                            "
"
1                                            ",275,17.1,1.39,"
0                                            "
"
1                                            ",68,8.8,1.99,"
0                                            "
"
2                                            ",1120,17.4,23.11,"
0                                            "
"
2                                            ",1000,14.4,37.04,"
0                                            "
"
0                                            ",330,12.2,7.54,"
0                                            "
"
2                                            ",1800,22.0,40.68,"
0                                            "
"
2                                            ",1130,16.7,33.50,"
0                                            "
"
0                                            ",320,8.0,11.06,"
0                                            "
"
2                                            ",750,12.9,25.94,"
0                                            "
"
2                                            ",900,16.1,21.32,"
0                                            "
"
0                                            ",185,8.1,8.86,"
0                                            "
"
2                                            ",370,12.5,52.28,"
0                                            "
"
1                                            ",70,11.8,0.28,"
0                                            "
"
2                                            ",1050,17.8,30.47,"
0                                            "
"
2                                            ",350,9.7,27.53,"
0                                            "
"
2                                            ",850,15.5,24.99,"
0                                            "
"
1                                            ",158,17.5,1.20,"
0                                            "
"
2                                            ",670,15.1,29.39,"
0                                            "
"
2                                            ",90,3.0,22.63,"
0                                            "
"
1                                            ",50,5.7,2.59,"
0                                            "
"
0                                            ",435,12.9,9.17,"
0                                            "
"
0                                            ",640,15.4,10.22,"
0                                            "
"
2                                            ",300,8.0,21.18,"
0                                            "
"
1                                            ",120,6.4,2.74,"
0                                            "
"
2                                            ",3450,46.1,46.03,"
0                                            "
"
2                                            ",350,6.9,26.48,"
0                                            "
"
2                                            ",1630,21.2,29.04,"
0                                            "
"
2                                            ",880,16.7,33.61,"
0                                            "
"
2                                            ",465,8.5,22.94,"
0                                            "
"
2                                            ",2800,22.0,49.89,"
0                                            "
"
2                                            ",110,5.8,13.20,"
0                                            "
"
2                                            ",902,25.3,37.05,"
0                                            "
"
2                                            ",1488,27.8,31.89,"
0                                            "
"
2                                            ",730,21.0,19.66,"
0                                            "
"
3                                            ",2525,21.4,70.45,"
0                                            "
"
2                                            ",835,18.4,20.62,"
0                                            "
"
2                                            ",1360,22.3,27.23,"
0                                            "
"
2                                            ",1025,19.2,34.38,"
0                                            "
"
2                                            ",968,16.0,33.35,"
0                                            "
"
0                                            ",290,13.1,6.20,"
0                                            "
"
2                                            ",830,10.6,35.70,"
0                                            "
"
2                                            ",300,7.8,37.35,"
0                                            "
"
2                                            ",1398,27.8,29.16,"
0                                            "
"
0                                            ",100,4.4,8.59,"
0                                            "
"
2                                            ",660,14.9,32.41,"
0                                            "
"
2                                            ",890,55.7,29.65,"
0                                            "
"
2                                            ",644,19.1,11.34,"
0                                            "
"
0                                            ",465,23.2,6.06,"
0                                            "
"
0                                            ",285,10.1,6.83,"
0                                            "
"
2                                            ",2400,26.2,51.88,"
0                                            "
"
2                                            ",800,6.0,70.48,"
0                                            "
"
2                                            ",1068,18.3,24.60,"
0                                            "
"
2                                            ",1260,19.4,24.48,"
0                                            "
"
2                                            ",1630,26.8,23.96,"
0                                            "
"
2                                            ",620,10.5,34.85,"
0                                            "
"
3                                            ",3450,12.7,59.59,"
0                                            "
"
2                                            ",1358,18.7,26.62,"
0                                            "
"
2                                            ",600,9.9,54.10,"
0                                            "
"
2                                            ",860,27.5,42.27,"
0                                            "
"
2                                            ",855,17.8,21.83,"
0                                            "
"
2                                            ",530,7.5,44.47,"
0                                            "
"
2                                            ",420,13.6,21.21,"
0                                            "
"
0                                            ",562,16.9,14.29,"
0                                            "
"
2                                            ",1150,21.3,35.68,"
0                                            "
"
1                                            ",196,16.4,1.02,"
0                                            "
"
0                                            ",380,12.3,21.42,"
0                                            "
"
2                                            ",638,19.9,21.82,"
0                                            "
"
2                                            ",700,29.0,16.94,"
0                                            "
"
0                                            ",100,6.0,3.73,"
0                                            "
"
2                                            ",765,32.3,22.99,"
0                                            "
"
0                                            ",350,11.8,9.04,"
0                                            "
"
0                                            ",305,14.9,5.87,"
0                                            "
"
2                                            ",1110,21.7,33.54,"
0                                            "
"
0                                            ",340,10.7,8.46,"
0                                            "
"
2                                            ",1066,16.2,32.34,"
0                                            "
"
2                                            ",185,4.6,23.23,"
0                                            "
"
1                                            ",130,12.9,1.09,"
0                                            "
"
2                                            ",375,6.9,25.96,"
0                                            "
"
3                                            ",750,8.5,13.43,"
0                                            "
"
2                                            ",730,14.0,26.32,"
0                                            "
"
2                                            ",320,9.3,30.08,"
0                                            "
"
3                                            ",2500,26.7,40.34,"
0                                            "
"
2                                            ",692,13.3,24.61,"
0                                            "
"
2                                            ",858,18.1,38.67,"
0                                            "
"
2                                            ",570,12.9,32.80,"
0                                            "
"
2                                            ",280,8.9,23.86,"
0                                            "
"
2                                            ",550,16.6,28.74,"
0                                            "
"
2                                            ",1938,19.3,54.68,"
0                                            "
"
2                                            ",300,7.3,28.98,"
0                                            "
"
2                                            ",930,17.1,24.09,"
0                                            "
"
2                                            ",680,11.9,21.78,"
0                                            "
"
3                                            ",800,12.9,30.36,"
0                                            "
"
2                                            ",620,15.1,31.53,"
0                                            "
"
3                                            ",2500,27.1,40.16,"
0                                            "
"
2                                            ",550,10.3,39.88,"
0                                            "
"
2                                            ",448,17.3,20.08,"
0                                            "
"
2                                            ",1300,18.9,33.00,"
0                                            "
